noise_type,dimension,N,physical_error_rate,total_states_processed,output_states_count,max_stack_depth_used,theoretical_memory_bound,memory_efficiency,total_swap_operations,total_amplification_iterations,best_output_error,worst_output_error,average_output_error,memory_improvement_vs_batch,output_error_levels,convergence_achieved,noise_model_name
depolarizing,3,1024,0.7,0,1,10,11,10.0,1023,0,0.00641095646471405,0.00641095646471405,0.00641095646471405,102.4,[10],True,Depolarizing_d3_delta0.700
depolarizing,3,1024,0.8,0,1,10,11,10.0,1023,0,0.019650739283400886,0.019650739283400886,0.019650739283400886,102.4,[10],True,Depolarizing_d3_delta0.800
depolarizing,3,1024,0.9,0,1,10,11,10.0,1023,0,0.10806243001618765,0.10806243001618765,0.10806243001618765,102.4,[10],True,Depolarizing_d3_delta0.900
depolarizing,4,8,0.01,0,1,3,4,3.0,7,0,0.000954118775006868,0.000954118775006868,0.000954118775006868,2.6666666666666665,[3],True,Depolarizing_d4_delta0.010
depolarizing,4,8,0.1,0,1,3,4,3.0,7,0,0.011251116871142247,0.011251116871142247,0.011251116871142247,2.6666666666666665,[3],True,Depolarizing_d4_delta0.100
depolarizing,4,8,0.2,0,1,3,4,3.0,7,0,0.02744141368794928,0.02744141368794928,0.02744141368794928,2.6666666666666665,[3],True,Depolarizing_d4_delta0.200
depolarizing,4,8,0.3,0,1,3,4,3.0,7,0,0.05107758374305879,0.05107758374305879,0.05107758374305879,2.6666666666666665,[3],True,Depolarizing_d4_delta0.300
depolarizing,4,8,0.4,0,1,3,4,3.0,7,0,0.08600478231810355,0.08600478231810355,0.08600478231810355,2.6666666666666665,[3],True,Depolarizing_d4_delta0.400
depolarizing,4,8,0.5,0,1,3,4,3.0,7,0,0.13782499329979983,0.13782499329979983,0.13782499329979983,2.6666666666666665,[3],True,Depolarizing_d4_delta0.500
depolarizing,4,8,0.7,0,1,3,4,3.0,7,0,0.3198921915759523,0.3198921915759523,0.3198921915759523,2.6666666666666665,[3],True,Depolarizing_d4_delta0.700
depolarizing,4,8,0.8,0,1,3,4,3.0,7,0,0.45594686480410174,0.45594686480410174,0.45594686480410174,2.6666666666666665,[3],True,Depolarizing_d4_delta0.800
depolarizing,4,8,0.9,0,1,3,4,3.0,7,0,0.6076639473702233,0.6076639473702233,0.6076639473702233,2.6666666666666665,[3],True,Depolarizing_d4_delta0.900
