run_id,M,N,noise,mode,delta,p_channel,fidelity_init,fidelity_final,eps_L_init,eps_L_final,error_reduction_ratio,max_depth
M5_N8_depolarizing_iid_p_d0.10000,5,8,depolarizing,iid_p,0.1,0.075,0.7737809374999998,0.7459275466545283,0.2262190624999994,0.2550963388418495,1.127651825724678,3
M5_N8_depolarizing_iid_p_d0.50000,5,8,depolarizing,iid_p,0.5,0.375,0.2373046875,0.2049927113702622,0.7626953124999996,0.7964457542961687,1.0442515395637353,3
M5_N8_depolarizing_iid_p_d0.70000,5,8,depolarizing,iid_p,0.7,0.5249999999999999,0.1160290624999999,0.0998103080390683,0.8839709374999996,0.9011188185372728,1.0193986932260128,3
M5_N8_depolarizing_iid_p_d0.80000,5,8,depolarizing,iid_p,0.8,0.6000000000000001,0.0777599999999998,0.0684393749999998,0.9222399999999996,0.932257942032232,1.0108626193097594,3
M5_N8_depolarizing_iid_p_d0.90000,5,8,depolarizing,iid_p,0.9,0.675,0.0503284374999999,0.0464477372360779,0.9496715624999992,0.9540573547268044,1.0046182200246785,3
M5_N8_depolarizing_iid_p_d0.95000,5,8,depolarizing,iid_p,0.95,0.7124999999999999,0.039883798828125,0.0381353022220885,0.9601162011718742,0.9622897694157512,1.0022638595632736,3
M5_N8_depolarizing_iid_p_d0.99000,5,8,depolarizing,iid_p,0.99,0.7424999999999999,0.032844064065625,0.0325242405188484,0.9671559359343744,0.9678443203624532,1.0007117615707064,3
M5_N16_depolarizing_iid_p_d0.01000,5,16,depolarizing,iid_p,0.01,0.0075,0.9752487531218748,0.9703939425109748,0.0247512468781243,0.0297730275213222,1.2028900066297763,4
M5_N16_depolarizing_iid_p_d0.10000,5,16,depolarizing,iid_p,0.1,0.075,0.7737809374999998,0.7368676979097368,0.2262190624999994,0.2644268566039394,1.1688973231596695,4
M5_N16_depolarizing_iid_p_d0.50000,5,16,depolarizing,iid_p,0.5,0.375,0.2373046875,0.1952311536859639,0.7626953124999996,0.8064994084047942,1.0574332832349675,4
